wavelength,Vr (V),I_photo (A),sigma_photo (A)
2400A,0.29079,3.6466604670841777e-09,1.1586899101963313e-10
2400A,0.2991,3.788784467084178e-09,1.1032200621443496e-10
2400A,0.30741,3.786553467084178e-09,1.2045670376225568e-10
2400A,0.31572,3.595505467084178e-09,1.2318925487812572e-10
2400A,0.32402,3.6194424670841777e-09,1.1004311231289229e-10
2400A,0.33233,3.677907467084178e-09,1.0581890861267577e-10
2400A,0.34064,3.5914904670841778e-09,1.1853603947094665e-10
2400A,0.34895,3.4592514670841777e-09,1.0659829027080043e-10
2400A,0.35726,3.378554467084178e-09,1.0792715960826462e-10
2400A,0.36557,3.5935974670841778e-09,1.0629649734124745e-10
2400A,0.37387,3.505894467084178e-09,1.0954462329050122e-10
2400A,0.38218,3.359602467084178e-09,1.0897073605288636e-10
2400A,0.39049,3.294212467084178e-09,1.0893433686688429e-10
2400A,0.3988,3.111876467084178e-09,9.719601117420522e-11
2400A,0.40711,3.165319467084178e-09,9.455278752643005e-11
2400A,0.41542,3.184852467084178e-09,9.590319799257335e-11
2400A,0.42372,3.148624467084178e-09,8.78341822866441e-11
2400A,0.43203,3.068842467084178e-09,8.809023350148542e-11
2400A,0.44034,3.0450284670841778e-09,8.983805487112811e-11
2400A,0.44865,2.864886467084178e-09,9.514017019262802e-11
2400A,0.45696,2.9040434670841778e-09,8.353137797413511e-11
2400A,0.46527,2.705055467084178e-09,8.918731643150514e-11
2400A,0.47357,2.776084467084178e-09,8.741257686414138e-11
2400A,0.48188,2.682483467084178e-09,9.369789314291664e-11
2400A,0.49019,2.643546467084178e-09,7.6275880281894e-11
2400A,0.4985,2.535938467084178e-09,7.215899885198121e-11
2400A,0.50681,2.562757467084178e-09,7.062688866157651e-11
2400A,0.51512,2.299822467084178e-09,7.556841286561354e-11
2400A,0.52342,2.377819467084178e-09,7.55566434128378e-11
2400A,0.53173,2.213680467084178e-09,7.482529775470543e-11
2400A,0.54004,2.295600467084178e-09,7.384380491186736e-11
2400A,0.54835,2.208285467084178e-09,6.841681008496907e-11
2400A,0.55666,2.1204084670841777e-09,6.786866142469826e-11
2400A,0.56496,2.0947214670841777e-09,6.269702408409768e-11
2400A,0.57327,1.939527467084178e-09,6.210866419663141e-11
2400A,0.58158,1.9523184670841777e-09,5.868119386402023e-11
2400A,0.58989,1.8232984670841781e-09,6.038904591596331e-11
2400A,0.5982,1.7617584670841781e-09,5.1941520912521666e-11
2400A,0.60651,1.730401467084178e-09,5.96721587313709e-11
2400A,0.61481,1.5807794670841781e-09,5.5001976502125135e-11
2400A,0.62312,1.591329467084178e-09,4.7713283880028895e-11
2400A,0.63143,1.483145467084178e-09,4.425100926439899e-11
2400A,0.63974,1.410188467084178e-09,4.591064236794586e-11
2400A,0.64805,1.351685467084178e-09,4.4027319749014086e-11
2400A,0.65636,1.2979974670841782e-09,4.0866326219110104e-11
2400A,0.66466,1.224823467084178e-09,3.472197601471906e-11
2400A,0.67297,1.1762984670841782e-09,3.4884110469780156e-11
2400A,0.68128,1.0392024670841781e-09,3.879273352201319e-11
2400A,0.68959,9.39504067084178e-10,3.042967482442633e-11
2400A,0.6979,9.36665767084178e-10,3.0902861191979064e-11
2400A,0.70621,8.17763767084178e-10,2.574955119600001e-11
2400A,0.71451,7.42339367084178e-10,2.294631146579828e-11
2400A,0.72282,6.92063567084178e-10,2.136063094240958e-11
2400A,0.73113,6.18971867084178e-10,1.9466271469768566e-11
2400A,0.73944,5.67403867084178e-10,1.7171875701446407e-11
2400A,0.74775,4.51352867084178e-10,1.4382029303663151e-11
2400A,0.75606,3.8163416708417797e-10,1.2994095018135184e-11
2400A,0.76436,3.3952456708417797e-10,1.0420186338075995e-11
2400A,0.77267,2.35825367084178e-10,7.618745455332828e-12
2400A,0.78098,1.70721967084178e-10,5.269572266507179e-12
2400A,0.78929,9.702962708417801e-11,3.02307062713305e-12
2400A,0.7976,2.2488487084178e-11,1.1511393922056612e-12
2400A,0.80591,2.76139384178e-13,1.0332915543226942e-12
2400A,0.81421,-2.83442615822e-13,1.0181817048814268e-12
2400A,0.82252,-3.39797715822e-13,9.85210812893575e-13
2500A,0.0,6.252715467084178e-09,1.8778261363730621e-10
2500A,0.00601,6.588023467084178e-09,2.1284584717625532e-10
2500A,0.01201,6.317007467084178e-09,1.8746401603981986e-10
2500A,0.01802,6.450247467084178e-09,2.1130355627936748e-10
2500A,0.02402,6.111558467084178e-09,2.0223401261980591e-10
2500A,0.03003,6.381800467084179e-09,1.9580165574148715e-10
2500A,0.03604,6.170570467084178e-09,2.015389171469814e-10
2500A,0.04204,5.947879467084178e-09,2.0858927262689666e-10
2500A,0.04805,6.106843467084178e-09,1.9293657587419195e-10
2500A,0.05405,5.947797467084179e-09,1.9016929589559885e-10
2500A,0.06006,6.1205864670841785e-09,1.932175738732319e-10
2500A,0.06607,6.381516467084178e-09,2.095069670524296e-10
2500A,0.07207,6.115452467084178e-09,1.8281375206014405e-10
2500A,0.07808,6.198266467084178e-09,2.0124451907383176e-10
2500A,0.08408,6.1587574670841785e-09,1.9701874736627942e-10
2500A,0.09009,6.0997834670841786e-09,1.8280615212051216e-10
2500A,0.0961,5.975843467084179e-09,1.8565182986218539e-10
2500A,0.1021,6.095931467084178e-09,1.9260037827589494e-10
2500A,0.10811,6.088663467084178e-09,1.990532335950055e-10
2500A,0.11411,5.8282164670841786e-09,1.9512286045788644e-10
2500A,0.12012,6.111920467084178e-09,2.052706932013867e-10
2500A,0.12613,5.932444467084178e-09,1.958903551276015e-10
2500A,0.13213,5.8855764670841785e-09,1.908341910320523e-10
2500A,0.13814,5.9553874670841786e-09,1.8439273962579934e-10
2500A,0.14414,5.917518467084178e-09,1.608892499354069e-10
2500A,0.15015,5.631687467084178e-09,1.770136996389201e-10
2500A,0.15616,5.7267034670841784e-09,1.6722148745609168e-10
2500A,0.16216,5.7548944670841784e-09,1.77055899281492e-10
2500A,0.16817,6.112283467084179e-09,1.802004731181853e-10
2500A,0.17417,5.750515467084178e-09,1.9115548869396304e-10
2500A,0.18018,5.566757467084178e-09,1.9361237107173142e-10
2500A,0.18619,5.5354124670841785e-09,1.750106168031752e-10
2500A,0.19219,5.329093467084178e-09,1.6915326932669033e-10
2500A,0.1982,5.3319694670841785e-09,1.6427111596768259e-10
2500A,0.2042,5.548844467084178e-09,1.6816447855426494e-10
2500A,0.21021,5.590208467084178e-09,1.632462261131259e-10
2500A,0.21622,5.2054264670841785e-09,1.5795128062531757e-10
2500A,0.22222,5.135544467084178e-09,1.5888607073742438e-10
2500A,0.22823,4.917279467084178e-09,1.6162574241694243e-10
2500A,0.23423,5.205184467084178e-09,1.6589240017450417e-10
2500A,0.24024,4.9761434670841785e-09,1.721653418707082e-10
2500A,0.24625,5.110473467084178e-09,1.6635709570459515e-10
2500A,0.25225,4.989335467084178e-09,1.7071205499690942e-10
2500A,0.25826,4.945063467084178e-09,1.5468751608535777e-10
2500A,0.26426,4.8098384670841784e-09,1.518110486015686e-10
2500A,0.27027,4.563655467084179e-09,1.4561422301677066e-10
2500A,0.27628,4.710991467084179e-09,1.4739270101951394e-10
2500A,0.28228,4.701840467084178e-09,1.4911178025567874e-10
2500A,0.28829,4.322644467084178e-09,1.439391442322339e-10
2500A,0.29429,4.369690467084178e-09,1.4089658405762656e-10
2500A,0.3003,4.116252467084179e-09,1.231483555938033e-10
2500A,0.30631,4.282670467084178e-09,1.2998364223846717e-10
2500A,0.31231,4.445069467084178e-09,1.2856566476310005e-10
2500A,0.31832,4.345336467084178e-09,1.3633134714869442e-10
2500A,0.32432,4.092967467084178e-09,1.2409293918534538e-10
2500A,0.33033,3.883407467084178e-09,1.2892725897209567e-10
2500A,0.33634,4.075519467084178e-09,1.22996558254196e-10
2500A,0.34234,4.033502467084178e-09,1.234232507926599e-10
2500A,0.34835,3.841170467084178e-09,1.1018720915813153e-10
2500A,0.35435,3.640593467084178e-09,1.1389453073724756e-10
2500A,0.36036,3.492320467084178e-09,1.1122918658903257e-10
2500A,0.36637,3.485733467084178e-09,1.1507530682130648e-10
2500A,0.37237,3.436152467084178e-09,1.1216046677251226e-10
2500A,0.37838,3.341193467084178e-09,1.0618429998007155e-10
2500A,0.38438,3.4297874670841777e-09,1.0557381443666714e-10
2500A,0.39039,3.142103467084178e-09,1.0881643950717108e-10
2500A,0.3964,3.172294467084178e-09,9.641214338033318e-11
2500A,0.4024,3.254694467084178e-09,9.325983645105715e-11
2500A,0.40841,2.941969467084178e-09,9.296282554558422e-11
2500A,0.41441,3.0304774670841778e-09,9.009312650502382e-11
2500A,0.42042,2.777925467084178e-09,8.128253590255858e-11
2500A,0.42643,2.6728764670841778e-09,8.541332794983593e-11
2500A,0.43243,2.7074974670841777e-09,8.062351259940382e-11
2500A,0.43844,2.452663467084178e-09,7.629879923642459e-11
2500A,0.44444,2.4474064670841777e-09,7.935121539431343e-11
2500A,0.45045,2.375505467084178e-09,7.175756943343834e-11
2500A,0.45646,2.210117467084178e-09,7.235295898940088e-11
2500A,0.46246,2.134097467084178e-09,6.639029852853372e-11
2500A,0.46847,2.0759694670841777e-09,6.550036285879588e-11
2500A,0.47447,1.940608467084178e-09,6.239412464034354e-11
2500A,0.48048,1.821968467084178e-09,5.4943461642808104e-11
2500A,0.48649,1.7992644670841781e-09,5.998140579328085e-11
2500A,0.49249,1.7255284670841782e-09,5.4391340692700584e-11
2500A,0.4985,1.531115467084178e-09,5.2510895489635535e-11
2500A,0.5045,1.4677904670841782e-09,4.795628568373832e-11
2500A,0.51051,1.3705274670841781e-09,4.184564416409223e-11
2500A,0.51652,1.3152334670841782e-09,3.993496774808045e-11
2500A,0.52252,1.127514467084178e-09,3.579458684810771e-11
2500A,0.52853,1.072944467084178e-09,3.1904931288280894e-11
2500A,0.53453,9.94438267084178e-10,2.972997022701882e-11
2500A,0.54054,9.331765670841781e-10,2.948049582076132e-11
2500A,0.54655,7.79219767084178e-10,2.5838275774862102e-11
2500A,0.55255,6.69471567084178e-10,2.2245386261432407e-11
2500A,0.55856,6.242745670841779e-10,1.860928015582348e-11
2500A,0.56456,4.733160670841779e-10,1.550376147180824e-11
2500A,0.57057,3.74966267084178e-10,1.1120965497776063e-11
2500A,0.57658,2.7794086708417797e-10,8.72171345757252e-12
2500A,0.58258,1.7271716708417798e-10,5.779229679515654e-12
2500A,0.58859,7.9920487084178e-11,2.5775658763745705e-12
2500A,0.59459,4.48201084178e-13,1.0038577625195808e-12
2600A,0.0,8.862906467084179e-09,2.6047901910714005e-10
2600A,0.0042,8.088876467084178e-09,2.7561426314308883e-10
2600A,0.00841,8.386274467084179e-09,2.6387300599913175e-10
2600A,0.01261,8.307336467084178e-09,2.826606391330562e-10
2600A,0.01682,8.186310467084178e-09,2.606673183709608e-10
2600A,0.02102,8.235785467084178e-09,2.5429004391052714e-10
2600A,0.02523,8.509148467084179e-09,2.6525930074157213e-10
2600A,0.02943,8.730926467084178e-09,2.668846946467853e-10
2600A,0.03363,8.365155467084178e-09,2.583618274584267e-10
2600A,0.03784,8.164225467084178e-09,2.478373710898093e-10
2600A,0.04204,8.794847467084179e-09,2.740965684761081e-10
2600A,0.04625,8.418137467084178e-09,2.7349017062347564e-10
2600A,0.05045,8.286148467084179e-09,2.476018721085481e-10
2600A,0.05465,8.087066467084178e-09,2.4776737139241684e-10
2600A,0.05886,7.747971467084179e-09,2.747538661592004e-10
2600A,0.06306,8.283343467084178e-09,2.546035426251328e-10
2600A,0.06727,8.341772467084179e-09,2.60380819491486e-10
2600A,0.07147,8.192470467084178e-09,2.6039471943706503e-10
2600A,0.07568,8.403388467084178e-09,2.236314870252126e-10
2600A,0.07988,7.782914467084179e-09,2.578759293944044e-10
2600A,0.08408,8.200801467084179e-09,2.6358260710748317e-10
2600A,0.08829,7.859563467084178e-09,2.4999486184611443e-10
2600A,0.09249,7.820888467084179e-09,2.3553702702511095e-10
2600A,0.0967,7.733892467084178e-09,2.36523322325427e-10
2600A,0.1009,7.900439467084178e-09,2.3642072281248496e-10
2600A,0.10511,7.509533467084178e-09,2.5093655786128063e-10
2600A,0.10931,8.015345467084178e-09,2.3856201273427386e-10
2600A,0.11351,7.639799467084179e-09,2.244016829510595e-10
2600A,0.11772,7.615293467084179e-09,2.45270482299395e-10
2600A,0.12192,7.567392467084177e-09,2.430880920160793e-10
2600A,0.12613,8.032401467084178e-09,2.1905841180575062e-10
2600A,0.13033,7.821948467084178e-09,2.265507717293804e-10
2600A,0.13453,7.174499467084178e-09,2.6990958349969316e-10
2600A,0.13874,7.496766467084178e-09,2.2847816184488583e-10
2600A,0.14294,7.1863314670841785e-09,2.089110706665825e-10
2600A,0.14715,7.1241264670841785e-09,2.0074852233293732e-10
2600A,0.15135,7.1729574670841785e-09,2.257073761077777e-10
2600A,0.15556,6.808118467084178e-09,2.1047656121551354e-10
2600A,0.15976,7.067703467084179e-09,2.222221945531495e-10
2600A,0.16396,6.523334467084178e-09,1.9720604608659399e-10
2600A,0.16817,6.867681467084178e-09,2.1051526098365846e-10
2600A,0.17237,6.5557414670841785e-09,1.975647436426293e-10
2600A,0.17658,6.347831467084178e-09,2.01348418393162e-10
2600A,0.18078,6.277028467084179e-09,2.1193295254846007e-10
2600A,0.18498,6.0602914670841785e-09,1.9539035859534585e-10
2600A,0.18919,6.432337467084178e-09,1.8012617372582983e-10
2600A,0.19339,5.729635467084178e-09,1.9112638890539902e-10
2600A,0.1976,6.3033404670841785e-09,1.8843300875796105e-10
2600A,0.2018,5.6672284670841785e-09,1.7477361886002084e-10
2600A,0.20601,5.761483467084179e-09,1.9041389410247308e-10
2600A,0.21021,5.757978467084178e-09,1.90233495424512e-10
2600A,0.21441,5.739608467084179e-09,1.861429260897868e-10
2600A,0.21862,5.8390964670841784e-09,1.6619619724944921e-10
2600A,0.22282,5.2590994670841785e-09,1.8058586997430844e-10
2600A,0.22703,5.228520467084178e-09,1.5948346447910462e-10
2600A,0.23123,5.225328467084178e-09,1.7946417916204846e-10
2600A,0.23544,5.106470467084179e-09,1.7965637757961122e-10
2600A,0.23964,4.884349467084178e-09,1.5349742939055306e-10
2600A,0.24384,5.011858467084178e-09,1.5658699526815063e-10
2600A,0.24805,4.718733467084178e-09,1.473525015108594e-10
2600A,0.25225,4.4000254670841785e-09,1.4463973529921792e-10
2600A,0.25646,4.626333467084178e-09,1.3523476293785493e-10
2600A,0.26066,4.519621467084178e-09,1.4115918055269316e-10
2600A,0.26486,4.375772467084178e-09,1.4087438435452992e-10
2600A,0.26907,4.294315467084178e-09,1.2859076436007303e-10
2600A,0.27327,4.236913467084178e-09,1.3882271220393955e-10
2600A,0.27748,3.8333764670841785e-09,1.2874306191798384e-10
2600A,0.28168,3.759862467084178e-09,1.2336055188583515e-10
2600A,0.28589,3.651761467084178e-09,1.1095779242657014e-10
2600A,0.29009,3.5158074670841778e-09,1.0921163067941905e-10
2600A,0.29429,3.564666467084178e-09,1.0495802918913743e-10
2600A,0.2985,3.341374467084178e-09,1.0210229993054919e-10
2600A,0.3027,3.259726467084178e-09,1.0369326003896215e-10
2600A,0.30691,2.8754564670841777e-09,8.622850856707848e-11
2600A,0.31111,2.910068467084178e-09,9.965815369631289e-11
2600A,0.31532,2.703673467084178e-09,8.689345500771519e-11
2600A,0.31952,2.631221467084178e-09,8.729278103191251e-11
2600A,0.32372,2.4929264670841778e-09,7.693278056372801e-11
2600A,0.32793,2.547662467084178e-09,7.615824565781059e-11
2600A,0.33213,2.354398467084178e-09,7.146858439296755e-11
2600A,0.33634,2.140701467084178e-09,6.98245918515957e-11
2600A,0.34054,2.073132467084178e-09,6.31688224582525e-11
2600A,0.34474,2.0063314670841778e-09,5.552342117041624e-11
2600A,0.34895,1.8044724670841781e-09,5.767376289200684e-11
2600A,0.35315,1.5975284670841782e-09,4.8571955508687575e-11
2600A,0.35736,1.525778467084178e-09,5.019875836769995e-11
2600A,0.36156,1.3554634670841781e-09,4.4218683650694823e-11
2600A,0.36577,1.245919467084178e-09,3.865414806222258e-11
2600A,0.36997,1.1182814670841781e-09,3.384304463339292e-11
2600A,0.37417,8.81966267084178e-10,3.1458109512917735e-11
2600A,0.37838,8.079995670841779e-10,2.349675025871292e-11
2600A,0.38258,6.08555867084178e-10,2.2089590492418047e-11
2600A,0.38679,5.05334567084178e-10,1.699082065569305e-11
2600A,0.39099,3.69094767084178e-10,1.1205335195442643e-11
2600A,0.3952,2.33529967084178e-10,7.668852238445243e-12
2600A,0.3994,1.0070106708417801e-10,2.9846145526809e-12
2600A,0.4036,-4.8238135822000005e-14,9.696655851343902e-13
2600A,0.40781,7.988446841780001e-13,1.0305418182769922e-12
2600A,0.41201,2.19804084178e-13,1.0089608951641382e-12
2600A,0.41622,-4.66840515822e-13,1.0118044044095525e-12
2700A,0.0,1.1161988467084178e-08,3.6212333305350237e-10
2700A,0.0023,1.1028648467084178e-08,3.5797734154353653e-10
2700A,0.0046,1.0782798467084179e-08,3.5309675179335455e-10
2700A,0.00691,1.1291838467084178e-08,3.5185885443829295e-10
2700A,0.00921,1.0750218467084178e-08,3.6595042538724806e-10
2700A,0.01151,1.1257588467084179e-08,3.1814313439127965e-10
2700A,0.01381,1.0518788467084179e-08,3.433508731327588e-10
2700A,0.01612,1.0970638467084179e-08,3.2996110450643697e-10
2700A,0.01842,1.0861978467084179e-08,3.5784804181147593e-10
2700A,0.02072,1.0901218467084179e-08,3.3095090210033845e-10
2700A,0.02302,1.0917688467084178e-08,3.0765296284194605e-10
2700A,0.02533,1.1494628467084178e-08,3.3661868859501525e-10
2700A,0.02763,1.0699828467084179e-08,3.372503871179066e-10
2700A,0.02993,1.0032588467084178e-08,3.163664390771844e-10
2700A,0.03223,1.0433128467084178e-08,3.676912219529694e-10
2700A,0.03453,1.1033598467084178e-08,3.185726332663523e-10
2700A,0.03684,1.1052718467084178e-08,3.2571011500643914e-10
2700A,0.03914,1.0295358467084178e-08,3.454380684613493e-10
2700A,0.04144,1.0937528467084178e-08,3.323390987499181e-10
2700A,0.04374,1.0573158467084178e-08,3.2676321237981764e-10
2700A,0.04605,1.0798878467084178e-08,3.0043008358627775e-10
2700A,0.04835,1.0043758467084178e-08,3.406236793228384e-10
2700A,0.05065,1.0197888467084178e-08,3.3244309850004077e-10
2700A,0.05295,1.0116848467084179e-08,2.9804429065925387e-10
2700A,0.05526,1.0222938467084179e-08,3.4948855955504155e-10
2700A,0.05756,9.627018467084179e-09,3.0523066968942984e-10
2700A,0.05986,9.757228467084178e-09,3.11356552578403e-10
2700A,0.06216,1.0053748467084178e-08,2.6595509812340095e-10
2700A,0.06446,9.098993467084178e-09,2.9416920239193603e-10
2700A,0.06677,9.848726467084179e-09,2.6882708746000245e-10
2700A,0.06907,9.508096467084178e-09,3.0312857572044875e-10
2700A,0.07137,9.458728467084179e-09,3.1594864018675223e-10
2700A,0.07367,9.433273467084178e-09,3.2467861759570465e-10
2700A,0.07598,9.033801467084179e-09,3.0385897361543863e-10
2700A,0.07828,9.180868467084178e-09,2.898986156853941e-10
2700A,0.08058,9.189650467084178e-09,3.096259573437405e-10
2700A,0.08288,9.624732467084178e-09,3.124217496715423e-10
2700A,0.08519,9.478784467084178e-09,3.0106618171941497e-10
2700A,0.08749,8.760099467084178e-09,2.891687179967048e-10
2700A,0.08979,8.624657467084178e-09,2.6832418931072504e-10
2700A,0.09209,8.393552467084179e-09,2.84868831853237e-10
2700A,0.09439,8.200648467084178e-09,2.649283019918933e-10
2700A,0.0967,8.527042467084178e-09,2.798498485656689e-10
2700A,0.099,8.677764467084178e-09,2.6277431020536964e-10
2700A,0.1013,8.562190467084178e-09,2.597592219311141e-10
2700A,0.1036,8.258815467084178e-09,2.539357453670275e-10
2700A,0.10591,7.520258467084179e-09,2.443585863383315e-10
2700A,0.10821,8.286582467084178e-09,2.662546970002742e-10
2700A,0.11051,8.000253467084177e-09,2.532751480935858e-10
2700A,0.11281,7.747449467084178e-09,2.549210413265602e-10
2700A,0.11512,8.018391467084179e-09,2.382791140553822e-10
2700A,0.11742,7.3155784670841785e-09,2.334623370405981e-10
2700A,0.11972,7.2907894670841785e-09,2.3814361468926236e-10
2700A,0.12202,7.4185414670841785e-09,2.390142106290499e-10
2700A,0.12432,7.350013467084179e-09,2.0015822623271776e-10
2700A,0.12663,6.764755467084178e-09,2.195763089475452e-10
2700A,0.12893,7.248271467084178e-09,2.075989786976512e-10
2700A,0.13123,6.7319044670841786e-09,2.145871370558539e-10
2700A,0.13353,6.755471467084179e-09,1.9573565619862883e-10
2700A,0.13584,6.332222467084178e-09,1.9165368508408033e-10
2700A,0.13814,6.2127264670841785e-09,2.1077725941623265e-10
2700A,0.14044,6.215374467084178e-09,1.9357117136355257e-10
2700A,0.14274,5.8689744670841785e-09,1.8263095351354828e-10
2700A,0.14505,5.593029467084178e-09,1.7757119493067514e-10
2700A,0.14735,5.486611467084178e-09,1.7697809994057972e-10
2700A,0.14965,5.346687467084178e-09,1.6759088395705723e-10
2700A,0.15195,5.565011467084178e-09,1.626482320917686e-10
2700A,0.15425,5.1487874670841785e-09,1.7382462715227619e-10
2700A,0.15656,5.2307554670841785e-09,1.560285013363194e-10
2700A,0.15886,4.9314254670841785e-09,1.5418072172621913e-10
2700A,0.16116,4.818852467084178e-09,1.387403133396268e-10
2700A,0.16346,4.737070467084179e-09,1.5955266375719906e-10
2700A,0.16577,4.558964467084178e-09,1.3487126822829177e-10
2700A,0.16807,4.286850467084178e-09,1.3411997925371828e-10
2700A,0.17037,4.146244467084179e-09,1.283277685908542e-10
2700A,0.17267,3.992199467084178e-09,1.176574561940629e-10
2700A,0.17497,3.4781254670841777e-09,1.1486211110308666e-10
2700A,0.17728,3.6381764670841777e-09,1.221807726648421e-10
2700A,0.17958,3.2481844670841777e-09,1.0407075075283076e-10
2700A,0.18188,3.1422384670841777e-09,9.754779132467697e-11
2700A,0.18418,3.027141467084178e-09,9.994527604385424e-11
2700A,0.18649,2.8530624670841777e-09,8.792062931491064e-11
2700A,0.18879,2.932329467084178e-09,8.483997895414829e-11
2700A,0.19109,2.657158467084178e-09,7.911947519335694e-11
2700A,0.19339,2.403061467084178e-09,7.605496039167154e-11
2700A,0.1957,2.378349467084178e-09,6.91289601110289e-11
2700A,0.198,2.0486554670841777e-09,6.450738524937067e-11
2700A,0.2003,1.993775467084178e-09,6.433458630339846e-11
2700A,0.2026,1.737093467084178e-09,6.10266599836e-11
2700A,0.2049,1.460542467084178e-09,4.654337375015616e-11
2700A,0.20721,1.396710467084178e-09,4.1504106378308227e-11
2700A,0.20951,1.168799467084178e-09,3.741912478584615e-11
2700A,0.21181,9.910909670841781e-10,3.336346742138661e-11
2700A,0.21411,8.77645667084178e-10,2.760870659494801e-11
2700A,0.21642,7.02039867084178e-10,2.2536462014260927e-11
2700A,0.21872,5.16019767084178e-10,1.8099392489700463e-11
2700A,0.22102,3.46597767084178e-10,1.0658225332667986e-11
2700A,0.22332,1.7979346708417798e-10,5.434156003930197e-12
2700A,0.22563,1.201916084178e-12,9.995180917798433e-13
2700A,0.22793,-1.14693115822e-13,1.0520379114126301e-12
